"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"HP 15-fd0004nm i5-1335U/16GB/512GB/W11 Home (srebrn) prenosni računalnik","699,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER A317-53-58WJ i5-1135G7/8GB/512GB/UMA/IPS/NoOS","699,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"DELL Precision 7670 i7-12850HX/16GB/SSD 512TB/16.0''FHD+/RTX A1000 4GB/W11Pro prenosni računalnik","3.039,99 €","DELL","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS P1512CEA-EJ0297 15,6''/i5/8GB/512GB SSD/W10 Pro prenosni računalnik","606,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ProBook 440 G9 35,6 cm (14"")/i5-1235U/8GB/512GB SSD/W10P prenosni računalnik srebrn","1.090,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G4 i5-1235U/15.6"" FHD/16GB/1TB/UMA/W11P prenosni računalnik","1.291,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Aspire3 A315-24P-R26R Ryzen 3 7320U/16GB/SSD 512GB/15,6''FHD IPS/No OS prenosni računalnik","546,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-59-53SN i5-1235U/16GB/512GB UMA/Win11 Home","899,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Envy x360 15-fh0001nn Ryzen 5 7530U/FHD/Touch/16GB/512GB/W11Home (Nightfall Black) prenosni računalnik","1.099,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B5 B5302CBA-EG0322/13,3''/i5-1235U/8GB/512GB/W11 Pro","839,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS Vivobook 15 X1502ZA- BQ1148W/15,6''/i3/12GB/512GB/W11 Pro prenosni računalnik","574,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP EliteBook x360 1040 G9 i7-1255U/16GB/SSD 1TB/14''WUXGA IPS Touch SV/BL KEY/WWAN 5G/W11 prenosni računalnik","2.575,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS TN3604YA-OLED-MY731W AMD Ryzen 7 7730U/16GB/1TB/W11 Home prenosni računalnik","1.279,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-24P-R8D1 Ryzen 5 7520U/16GB/512GB/UMA/NoOS prenosni računalnik","669,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-58-51D4 i5-1135G7/8GB/512GB/UMA/NoOS prenosni računalnik","629,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-58-54UP i5-1135G7/16GB/512GB/UMA/Win11 Home","799,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS VivoBook 16 M1605YAR-MB531W Ryzen 5 7530U/16GB/SSD 512/W11Home prenosni računalnik","754,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS Vivobook Pro 16X M7600RE-OLED-L2067/16''/1TB/Win 11H prenosni računalnik","1.899,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Envy x360 15-fh0003nn Ryzen 7 7730U/FHD/Touch/16GB/512GB/UMA/W11 Home (Nightfall Black) prenosni računalnik","1.199,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik HP 39,6 cm (15,6&quot;) 255 G9 1920x1080 IPS 250nit R7-5825U/16GB/SSD512GB/AMD Radeon/DOS","589,90 €","HP","Multimedijski prenosniki","E-misija d.o.o.","0 %","0 €"
"ASUS ExpertBook B1 B1502CBA-WB31C0 15.6inch FHD IPS/i3-1215U0/8GB/512GB/Intel UHD Graphics/NoOS Star Black prenosni računalnik","669,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS Vivobook 15 X1502ZA- EJ1224/15,6''/i3/12GB/512GB/W11 Home prenosni računalnik","516,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS VivoBook Go 15 E1504FA-BQ521W Ryzen 5 7520U/16GB/SSD 512/W11Home prenosni računalnik","690,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS B1502CBA-WB73C0X i7-1255U/16GB/SSD 512GB prenosni računalnik","1.149,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"A715-76G-59DB i5-12450H/16GB/512GB ACER GTX 1650/IPS/144HZ/NoOS","1.049,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-59-53M9 i5-1235U/16GB/512GB/UMA/Win11 Home","899,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Victus 16-s0004nm R7-7840HS 16 512 4060 DOS","1.499,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS X1502ZA-BQ322W i3-1215U/8GB/512GB/W11 Home prenosni računalnik","600,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1502CBA-WB53C0X 15.6inch FHD IPS/Intel Core i5-1235U/16GB/512GB/Intel UHD/W11P Star Black prenosni računalnik","1.049,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP 470 G8 17-ka","799,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"ASUS M3604YA-OLED-L731W Ryzen7 7730U/16GB/SSD 1TB prenosni računalnik","1.359,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ENVY 17-ch1056nf | MX450 (2 GB) | Metal","1.099,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"HP Victus 16-r0031nm i7-13700H 32 1 4070 Dos","2.299,00 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS X515EA-BQ512W i5-1135G7/8GB/SSD 512GB/W11 Home","649,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP 35,5 cm (14,0'') EliteBook x360 1040 G9 IPS 1920x1200 Touch i7-1255U/16GB/SSD 512GB/SV/BL KEY/Win11Pro prenosni računalnik","2.510,86 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Laptop 17-cp3002nm Ryzen 7 7730U/FHD/16GB/1T/FreeDOS (Natural Silver) prenosni računalnik","829,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik HP Victus 16-e0125nf | GTX 1650 (4 GB) / AMD Ryzen™ 5 / RAM 8 GB / SSD Disk / 16,1″ FHD","799,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"MacBook Pro Retina 13"" 2015 Core i7 3,1 Ghz 16 Gb 1 Tb SSD Silver","711,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"HP Laptop 17-cn2068nm Core i3-1215U/FHD/16GB/512GB/W11 Home (Natural silver) prenosni računalnik","739,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ENVY 17-ch0039nf Nvidia MX450 (2 GB)","1.099,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"MacBook Pro Retina 13"" 2016 Core i7 2,4 Ghz 16 Gb 512 Gb SSD Silver","615,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Retina 14"" 2021 Apple M1 Max 3,2 Ghz 64 Gb 2 Tb SSD Space Grey","3.461,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Prenosnik HP EliteBook 1040 G9 i7-1255U/16GB/SSD 512GB/14''WUXGA IPS SV/BL KEY/LTE/W11Pro","2.105,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ProBook 450 G10 i7-1355U/16GB/1TB/Win 11 Pro prenosni računalnik","1.324,22 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS X515EA-BQ312W Intel Core i3-1115G4/8GB/256GB SSD/W11 Home prenosni računalnik","499,99 €","ASUS","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Laptop 17-cn3008nm Core i5-1335U/FHD/16GB/512GB/Intel Iris Xe/W11 Home (Natural Silver) prenosni računalnik","909,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Elite Dragonfly G3 i5-1235U/16GB/SSD 512GB/13,5''WUXGA 400nit/W11-10Pro prenosni računalnik","2.019,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik HP Victus 16-d0206nf | RTX 3060 (6 GB) / i5 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.049,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP Probook 650 G8 / i5 / RAM 16 GB / SSD Disk / 15,6″ FHD","1.199,00 €","HP","Prenosniki za vsakdanjo uporabo","eSvet","0 %","0 €"
"MacBook Pro Retina 13"" 2017"" Core i5 2,3 Ghz 8 Gb 128 Gb SSD Silver","509,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"HP 43,9 cm (17,3&quot;) 470 G9 1920x1080 IPS 300nit i3-1215U/8GB/SSD512GB/BL/Win11Home prenosni računalnik","699,90 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP 15-dw4008nt | 10 core | backlit","489,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"Dell XPS 13 9305/Core i5-1135G7/8GB/512GB SSD/13.3&quot; UHD Touch/Intel Iris Xe/FgrPr/Cam","1.527,42 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"HP ProBook 450 G10 i7-1355U/16GB/512GB SSD/WIN 11 Pro prenosni računalnik","1.249,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Laptop 14-ep0001nm Intel Core i3-N305 14inch FHD AG 8GB 512GB PCIe UMA W11H Natural Silver","599,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik ASUS VivoBook X705MA-BX162 / Intel® Celeron® / RAM 8 GB / SSD Disk / 17,3″ HD+","389,00 €","ASUS","Prenosniki za vsakdanjo uporabo","eSvet","0 %","0 €"
"HP ProBook 450 G10 i7-1355U/16GB/512GB SSD/FreeDOS prenosni računalnik","1.073,11 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ProBook 450 G10 i5-1335U/16GB/512GB SSD/FreeDOS prenosni računalnik","902,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Dell Vostro 3510/Core i7-1165G7/16GB/512GB SSD/15.6&quot; FHD/Intel Iris Xe/Cam &amp; Mic/WLA","896,76 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"HP ProBook 450 G10 i5-1335U/16GB/512GB/Win 11 Pro prenosni računalnik","1.096,56 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"MacBook Air 11"" 2014 Core i5 1,4 Ghz 4 Gb 64 Gb SSD Silver","269,00 €","APPLE","Poslovni prenosniki","Okamac","6 %","19,00 €"
"MacBook Pro Touch Bar 15"" 2018 Core i7 2,6 Ghz 16 Gb 512 Gb SSD Space Grey","1.009,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Prenosnik HP Victus 16-d1037nt | RTX 3060 (6 GB) / i7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.259,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Dell Vostro 3525/AMD Ryzen 7 5825U/16GB (2x8GB)/512GB SSD/15.6&quot; FHD/AMD Radeon/C","944,60 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Prenosnik HP Pavilion 15-CS3055WM / i5 / RAM 8 GB / 15,6″ FHD","549,00 €","HP","Prenosniki za vsakdanjo uporabo","eSvet","0 %","0 €"
"MacBook Pro Retina 13"" 2017"" Core i5 2,3 Ghz 8 Gb 512 Gb SSD Space Grey","548,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"HP 250 G9 i5-1235U/8GB/SSD 512GB/15,6''FHD IPS/W11Pro prenosni računalnik","819,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik HP 15-dw3014nx i5-11 gen. / i5 / RAM 8 GB / 15,6″ FHD","519,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"HP 250 G9 i7-1255U/16GB/SSD 512GB/15,6''FHD IPS/W11Pro prenosni računalnik","999,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"MacBook Pro Touch Bar 16"" 2019 Core i9 2,3 Ghz 16 Gb 1 Tb SSD Silver","1.413,00 €","APPLE","Poslovni prenosniki","Okamac","8 %","135,00 €"
"Prenosnik Victus Gaming 15-fa0013nv | RTX 3050 Ti | White / i7 / RAM 16 GB / SSD Disk / 15,6″ FHD","999,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"HP ENVY 15-ep1006nf | RTX 3050 Ti (4 GB) | Metal","1.099,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2017"" Core i7 3,1 Ghz 16 Gb 512 Gb SSD Space Grey","817,00 €","APPLE","Poslovni prenosniki","Okamac","20 %","211,00 €"
"Prenosnik HP Victus 16-e1001nx RTX 3050 Ti (4 GB) / AMD Ryzen™ 7 / RAM 32 GB / SSD Disk / 16,1″ FHD","1.259,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik ASUS VivoBook S14 S433EA-EB160T Indie Black / i7 / RAM 8 GB / SSD Disk / 14,0″ FHD","599,00 €","ASUS","Prenosniki za vsakdanjo uporabo","SecondOption","0 %","0 €"
"Prenosnik HP ENVY x360 15-ew0504nz i5 12.gen. / i5 / RAM 8 GB / SSD Disk / 15,6″ FHD","999,00 €","HP","Prenosniki za vsakdanjo uporabo","eSvet","0 %","0 €"
"Dell XPS 15 9520/Core i7-12700H/16GB/1TB SSD/15.6&quot; UHD OLED Touch/GeForce RTX 30","3.205,74 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"MacBook Pro Retina 13"" 2017"" Core i5 2,3 Ghz 8 Gb 256 Gb SSD Space Grey","528,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell Vostro 5510/Core i7-11390H/8GB/512GB SSD/15.6&quot; FHD/GeForce MX 450/Cam &amp; Mic","1.055,87 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Dell Latitude 5520/ i5-1145G7/ 16GB/ M.2 512GB SSD/ 15.6&quot; FHD (1920x1080)/Intel","1.074,62 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"DELL Latitude 5430/Core i7-1265U/16GB/512GB SSD/14.0&quot; FHD/Intel Iris Xe/ThBlt &amp;","1.685,44 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Dell Vostro 7620/Core i7-12700H/16GB/1TB SSD/16&quot; FHD+/GeForce RTX 3050 Ti/Cam &amp;","1.647,17 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Prenosnik HP 34,3 cm (13,5&quot;) Elite Dragonfly G3 Touch 1920x1280 400nit i5-1235U/16GB/SSD512GB/LTE4G/Win11Pro","2.166,59 €","HP","Multimedijski prenosniki","E-misija d.o.o.","0 %","0 €"
"HP ProBook 440 G10 i5-1335U/16GB/512GB SSD/Win 11 Pro prenosni računalnik","1.093,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik HP ENVY 17-ch1006nl / i5 / RAM 8 GB / SSD Disk / 17,3″ FHD","899,00 €","HP","Prenosniki za vsakdanjo uporabo","eSvet","0 %","0 €"
"Prenosnik HP ENVY 14-eb0006nj i7/16 GB/1 TB SSD/14/TOUCH/GTX 1650 Ti/Win 10 / i7 / RAM 16 GB / SSD Disk / 14,0″ WUXGA","1.099,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP ENVY 17-cr0776ng | RTX 2050 (4 GB) | Metal / i7 / RAM 16 GB / SSD Disk / 17,3″ FHD","1.199,00 €","HP","Gaming prenosniki","eSvet","0 %","0 €"
"Prenosnik HP ENVY x360 Convertible 15-es0509nz / i5 / RAM 8 GB / SSD Disk / 15,6″ FHD","799,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP 39,6 cm (15,6&quot;) ProBook 450 G9 1920x1080 IPS 250nit i7-1255U/8GB/SSD512GB/BL/FP/Intel Iris XE/Win11Pro","1.177,59 €","HP","Multimedijski prenosniki","E-misija d.o.o.","0 %","0 €"
"Prenosnik ASUS TUF Gaming F17 FX706HC-HX007T | RTX 3050 (4 GB) / i5 / RAM 16 GB / SSD Disk / 17,3″ FHD","939,00 €","ASUS","Gaming prenosniki","Geri Computer d.o.o.","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2017"" Core i7 2,8 Ghz 16 Gb 512 Gb SSD Space Grey","692,00 €","APPLE","Poslovni prenosniki","Okamac","30 %","308,00 €"
"MacBook Pro Retina 13"" 2017"" Core i5 2,3 Ghz 16 Gb 512 Gb SSD Space Grey","701,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell Vostro 3510/Core i7-1165G7/16GB/512GB SSD/15.6&quot; FHD/Intel Iris Xe/Cam &amp; Mic/WLA","933,74 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Prenosnik Lenovo 35,5 cm (14,0&quot;) ThinkPad X1 Carbon G11 1920x1200 IPS 400nit i7-1355U/32GB/SSD1TB/BL/FP/Intel Iris XE/Win11Pro","2.842,79 €","LENOVO","Prenosni računalniki","E-misija d.o.o.","0 %","0 €"
"MacBook Pro Retina 13"" 2012 Core i5 2,5 Ghz 8 Gb 512 Gb SSD Silver","298,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Air 11"" 2013 Core i5 1,3 Ghz 4 Gb 512 Gb SSD Silver","308,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"HP ZBook Power 15.6 G9 | 64 GB RAM | RTX A2000 (8 GB)","1.999,00 €","HP","Prenosniki za vsakdanjo uporabo","SecondOption","0 %","0 €"
"Prenosnik HP Victus 16-d1020ne | RTX 3060 (6 GB) / i7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.299,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP Victus 16-d1770ng | RTX 3060 (6 GB) / i7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.299,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP Pavilion Gaming 15-ec2003nv | RTX 3050 (4 GB) / AMD Ryzen™ 7 / RAM 16 GB / SSD Disk / 15,5″ FHD","999,00 €","HP","Gaming prenosniki","eSvet","0 %","0 €"
"Prenosnik HP Victus 16-d1042nt | RTX 3050 Ti (4 GB) / i7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.109,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"MacBook Pro Touch Bar 13"" 2019 Core i5 1,4 Ghz 16 Gb 128 Gb SSD Silver","865,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Air 11"" 2012 Core i7 2 Ghz 8 Gb 64 Gb SSD Silver","365,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Retina 13"" 2013 Core i5 2,6 Ghz 16 Gb 1 Tb SSD Silver","480,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"XPS 17 9710/Core i7-11800H/16GB/512GB SSD/17.0&quot; FHD 500nits/GeForce RTX 3050/Cam","2.714,03 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"HP ProBook 450 G10 i5-1335U/8GB/512GB SSD/Win 11 Pro prenosni računalnik","1.068,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ProBook 440 G10 i7-1355U/16GB/512GB SSD/WIn 11 Pro prenosni računalnik","1.262,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"MacBook Pro Retina 13"" 2012 Core i5 2,5 Ghz 8 Gb 128 Gb SSD Silver","250,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell XPS 13 9320/Core i7-1260P/16GB/1TB SSD/13.4&quot; FHD AntiGlare/Intel Iris Xe/Cam &amp;","2.433,13 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Dell Vostro 3510/Core i5-1135G7/8GB/512GB SSD/15.6&quot; FHD/Intel Iris Xe/Cam &amp; Mic/WLAN","775,10 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Dell XPS 13 9320/Core i7-1260P/16GB/1TB SSD/13.4&quot; OLED Touch/Intel Iris Xe/Cam &amp; Mic","2.747,21 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"HP 39,6 cm (15,6&quot;) ProBook 450 G9 1920x1080 IPS 250nit i5-1235U/16GB/SSD1TB/BL/FP/Intel Iris XE/Win11Pro prenosni računalnik","1.157,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"Prenosnik HP Pavilion x360 Convertible 14-dy0755ng / i5 / RAM 16 GB / SSD Disk / 14,0″ FHD","649,00 €","HP","Prenosniki za vsakdanjo uporabo","SecondOption","0 %","0 €"
"Prenosnik HP ENVY 17-cr0755ng Metal / i5-12 gen / i5 / RAM 16 GB / SSD Disk / 17,3″ FHD","999,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP Victus 16-e1007nt | RTX 3050Ti (4 GB) / AMD Ryzen™ 7 / RAM 8 GB / SSD Disk / 16,1″ FHD","1.019,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"MacBook Pro Retina 13"" 2017"" Core i5 2,3 Ghz 16 Gb 1 Tb SSD Space Grey","730,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"DELL Latitude 7330/Core i7-1265U/16GB/512GB SSD/13.3&quot; FHD CF/Intel Iris Xe/ThBlt","1.777,85 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"MacBook Pro Retina 13"" 2016 Core i5 2 Ghz 8 Gb 256 Gb SSD Space Grey","548,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Air 13"" 2014 Core i5 1,4 Ghz 8 Gb 64 Gb SSD Silver","240,00 €","APPLE","Poslovni prenosniki","Okamac","13 %","38,00 €"
"Prenosnik HP ENVY Laptop 14-eb0037no i7-1165G7/16GB/1TB SSD/Nvidia/14&quot; WUXGA/Win 10 / i7 / RAM 16 GB / SSD Disk / 14,0″ WUXGA","999,00 €","HP","Poslovni prenosniki","SecondOption","0 %","0 €"
"MacBook Air 11"" 2013 Core i7 1,7 Ghz 8 Gb 64 Gb SSD Silver","403,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro 13"" 2012 Core i7 2,9 Ghz 2 Gb 750 Gb HDD Silver","360,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell Vostro 3510/Core i5-1135G7/16GB/512GB SSD/15.6&quot; FHD/Intel Iris Xe/Cam &amp; Mic","861,38 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Dell Latitude 5530/Core i5-1235U/16GB/512GB SSD/15.6&quot; FHD/Intel Iris Xe/ThBlt &amp;","1.451,16 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"MacBook Pro Retina 15"" 2015 Core i7 2,2 Ghz 16 Gb 512 Gb SSD Silver","509,00 €","APPLE","Poslovni prenosniki","Okamac","11 %","67,00 €"
"MacBook Air 13"" 2013 Core i7 1,7 Ghz 8 Gb 1 Tb SSD Silver","336,00 €","APPLE","Poslovni prenosniki","Okamac","7 %","29,00 €"
"Prenosnik HP Victus 16-e1006nx | RTX 3050Ti (4 GB) | Ryzen 7 6000 / AMD Ryzen™ 7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.099,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP ENVY 14-eb0005ns | i7 | GTX 1650 Titanium / i7 / RAM 16 GB / SSD Disk / 14,0″ WUXGA","1.099,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2018 Core i9 2,9 Ghz 16 Gb 512 Gb SSD Silver","1.182,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell Latitude 7430/Core i7-1265U/16GB/512GB SSD/14.0&quot; FHD CF/Intel Iris Xe/ThBlt","1.741,60 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Dell Precision 5570/Core i7-12700H/16GB/512GB SSD/15.6&quot; FHD+/NVIDIA RTX A1000/IR","2.568,69 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"MacBook Air 11"" 2014 Core i5 1,4 Ghz 4 Gb 512 Gb SSD Silver","317,00 €","APPLE","Poslovni prenosniki","Okamac","5 %","19,00 €"
"Prenosnik HP Victus 16-e0011ua RTX 3060 (6 GB) / AMD Ryzen™ 7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.139,00 €","HP","Gaming prenosniki","eSvet","0 %","0 €"
"Prenosnik HP Laptop 17-cp0308nf / AMD Ryzen™ 7 / RAM 16 GB / SSD Disk / 17,3″ FHD","619,00 €","HP","Prenosniki za vsakdanjo uporabo","SecondOption","0 %","0 €"
"MacBook Pro Retina 13"" 2016 Core i7 2,4 Ghz 16 Gb 1 Tb SSD Silver","644,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Retina 13"" 2015 Core i7 3,1 Ghz 16 Gb 128 Gb SSD Silver","615,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2018 Core i7 2,6 Ghz 16 Gb 512 Gb SSD Silver","1.009,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro 13"" 2012 Core i7 2,9 Ghz 4 Gb 750 Gb HDD Silver","360,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell Latitude 7520/Core i7-1165G7/16GB/256GB/4 Cell/W11Pro","1.620,54 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
"Prenosnik HP Victus 16-d1038nt | RTX 3050 Ti (4 GB) | 16 GB DDR5 / i7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.159,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP ENVY 14-eb0001nx GTX 1650Ti i7/16GB/1TB HDD/14&quot; WUXGA/Win 10 / i7 / RAM 16 GB / SSD Disk / 14,0″ WUXGA","1.099,00 €","HP","Gaming prenosniki","SecondOption","0 %","0 €"
"Prenosnik HP ENVY Laptop 17-cr0774ng / i7 / RAM 16 GB / SSD Disk / 17,3″ FHD","1.199,00 €","HP","Prenosniki za vsakdanjo uporabo","SecondOption","0 %","0 €"
"Prenosnik HP Laptop 17-cn0041na / Intel® Pentium® / RAM 16 GB / SSD Disk / 17,3″ FHD","369,00 €","HP","Prenosniki za vsakdanjo uporabo","SecondOption","0 %","0 €"
"MacBook Air 13"" 2015 Core i5 1,6 Ghz 8 Gb 64 Gb SSD Silver","375,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2019 Core i9 2,3 Ghz 32 Gb 1 Tb SSD Space Grey","1.692,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Dell Vostro 5515/AMD Ryzen 5 5500U/8GB/256GB SSD/15.6&quot; FHD/AMD Radeon/FgrPr/Cam","647,25 €","DELL","Poslovni prenosniki","NET servis","0 %","0 €"
