"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"HP 15s-fq5036nm i7-1255U/16/512/W11","899,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G2 15,6''/i5/16GB/1TB/W10P prenosni računalnik","1.049,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G3 AMD Ryzen 5 5500U/15.6/FHD/16GB/512GB/UMA/W11 Pro prenosni računalnik","1.098,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 3400 14''/i3/8GB/512GB/W10P prenosni računalnik","500,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"TOSHIBA Dynabook Satellite Pro C50-H-10W 15.6""/Intel i3-1005G1/8GB/256GB/NO OS prenosni rečunalnik","608,99 €","TOSHIBA","Poslovni prenosniki","Big Bang","0 %","0 €"
"APPLE MacBook Pro 14” M1 Max (10CPU/24GPU/32GB/1TB/SG/CR) prenosni računalnik","3.599,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS VivoBook S14 M433UA WB513T 8GB/512GB/W10 Home prenosni računalnik","786,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 250 G8 15,6'' FHD/1920x1080/i3-1115G4/Intel UHD/8GB/512GB/W10H prenosni računalnik","519,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"TOSHIBA Dynabook Portege X30L-J-1BI i7-1165G7/16GB/512GB/M.2/13,3""FHD/backlight/3Y/W11PRO prenosni računalnik","1.589,99 €","TOSHIBA","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO V15 G2 i5-1135G7/8GB/256GB/W11 Home prenosni računalnik","609,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ZenBook 14 UX3402ZA OLED-KM522W/i5/16GB/512GB/W11 Home prenosni računalnik","1.126,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B2 B2402CBA-EK0927 35,6 cm (14"")/i7-1260P/16GB/512GB/W11P prenosni računalnik","955,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1500CEAE EJ2005 39,6 cm (15,6"")/i7-1165G7/16GB/512GB SSD/W10H prenosni računalnik","956,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad P15 G2 i7-11800H 15.6inch FHD 16GB 512GB T1200 W10P prenosni računalnik, črn","2.792,99 €","LENOVO","Multimedijski prenosniki","Big Bang","0 %","0 €"
"Gigabyte G5 15 15,6''/i5 /16GB/512GB/RTX3060/W10H","1.339,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"GIGABYTE G5 MD-51EE123SD i5-11540H/RTX3050TI/15,6/144Hz/FHD/16GB/512GB/DOS prenosni računalnik","1.421,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS TUF Gaming F15 FX506HEB-HN1137W 15.6''/i7/16GB/1TB/W11H prenosni računalnik","1.564,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 3500 i3 15,6''/8GB/256GB+1TB/W10 Home prenosni računalnik","539,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"GIGABYTE A5 X1C R9 / 16GB / 512GB SSD / 15,6"" FHD 240Hz / NVIDIA GeForce RTX 3070 / Windows 10 prenosni računalnik (črn)","1.664,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 5515 Ryzen 7 DELL Vostro 5515 Ryzen 7","999,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS E210MA-GJ208TS 11,6/C/4GB/128+256GB/W10H prenosni računalnik","361,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS us B1400CEAE-EB3496 14''/i3/8GB/256GB/W10P prenosni računalnik","605,78 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 5520 i5-1135G7/8GB/SSD 256GB/15,6""FHD/UMA/W10 Pro prenosni računalnik","1.206,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS TUF GAMING F15 FX506HE-HN004T i7-11800H/16GB/SSD 512GB/15,6''FHD 144Hz/RTX 3050Ti/W10H prenosni računalnik","1.499,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 15s-fq2029nm 15,6""/1920x1080/i5-1135G7/8GB/512GB/W10 Home prenosni računalnik","549,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"DELL XPS 13 2v1 (9310) i7 13.4''FHD+Tch/UMA/W10P prenosni računalnik","2.649,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1500CEAE-BQ3055 i3-1115G4/39,6 cm (15,6"")/8GB/256GB/W11H prenosni računalnik","477,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G2 i5/16GB/512GB/W10 Home prenosni računalnik","953,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
